Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Add to Cart/android.widget.EditText""), ""35"", 0)",,,,13-02-2024 12:15:02,13-02-2024 12:15:05,3.506s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart/android.widget.Button - ADD""), 0)",,,,13-02-2024 12:15:05,13-02-2024 12:15:06,1.262s,PASSED
pressBack(),,,,13-02-2024 12:15:06,13-02-2024 12:15:08,1.535s,PASSED
pressBack(),,,,13-02-2024 12:15:08,13-02-2024 12:15:09,1.421s,PASSED
closeApplication(),,,,13-02-2024 12:15:09,13-02-2024 12:15:09,0.002s,NOT_RUN
Video,,,,13-02-2024 12:15:12,13-02-2024 12:15:12,0.001s,PASSED
,,,,,,,
Test Cases/Ubnormal/CheckOut tapi tidak isi fields,,,,13-02-2024 12:15:12,13-02-2024 12:16:04,52.350s,PASSED
"startApplication(""C:\Users\masep\Documents\Bootcamp\Assignment\Mobile\Android-Solodroid_E-CommerceApp Demo_3.2.0.apk\Solodroid_E-CommerceApp Demo_3.2.0.apk"", true)",,,,13-02-2024 12:15:12,13-02-2024 12:15:22,9.946s,PASSED
"tap(findTestObject(""Object Repository/Add and CheckOut/android.widget.FrameLayout (1)""), 0)",,,,13-02-2024 12:15:22,13-02-2024 12:15:27,5.174s,PASSED
"tap(findTestObject(""Object Repository/Add and CheckOut/android.widget.TextView - Office  Industry""), 0)",,,,13-02-2024 12:15:27,13-02-2024 12:15:30,3.375s,PASSED
"tap(findTestObject(""Object Repository/Add and CheckOut/android.widget.ImageView""), 0)",,,,13-02-2024 12:15:30,13-02-2024 12:15:31,1.179s,PASSED
"tap(findTestObject(""Object Repository/Add and CheckOut/android.widget.Button - ADD TO CART""), 0)",,,,13-02-2024 12:15:31,13-02-2024 12:15:34,2.634s,PASSED
"setText(findTestObject(""Object Repository/Add and CheckOut/android.widget.EditText""), ""1"", 0)",,,,13-02-2024 12:15:34,13-02-2024 12:15:36,2.384s,PASSED
"tap(findTestObject(""Object Repository/Add and CheckOut/android.widget.Button - ADD""), 0)",,,,13-02-2024 12:15:36,13-02-2024 12:15:37,0.849s,PASSED
"tap(findTestObject(""Object Repository/Add and CheckOut/android.widget.TextView""), 0)",,,,13-02-2024 12:15:37,13-02-2024 12:15:38,1.058s,PASSED
"tap(findTestObject(""Object Repository/Add and CheckOut/android.widget.Button - CHECKOUT""), 0)",,,,13-02-2024 12:15:38,13-02-2024 12:15:40,1.838s,PASSED
"setText(findTestObject(""Object Repository/Add and CheckOut/android.widget.EditText - Your Name""), """", 0)",,,,13-02-2024 12:15:40,13-02-2024 12:15:45,4.486s,PASSED
"setText(findTestObject(""Object Repository/Add and CheckOut/android.widget.EditText - your.emailgmail.com""), """", 0)",,,,13-02-2024 12:15:45,13-02-2024 12:15:48,3.426s,PASSED
"setText(findTestObject(""Object Repository/Add and CheckOut/android.widget.EditText - Your Address""), """", 0)",,,,13-02-2024 12:15:48,13-02-2024 12:15:51,2.888s,PASSED
hideKeyboard(),,,,13-02-2024 12:15:51,13-02-2024 12:15:54,2.682s,PASSED
"setText(findTestObject(""Object Repository/Add and CheckOut/android.widget.EditText - Comment""), ""Test"", 0)",,,,13-02-2024 12:15:54,13-02-2024 12:15:57,3.140s,PASSED
hideKeyboard(),,,,13-02-2024 12:15:57,13-02-2024 12:15:59,2.513s,PASSED
"tap(findTestObject(""Object Repository/Add and CheckOut/android.widget.RelativeLayout""), 0)",,,,13-02-2024 12:15:59,13-02-2024 12:16:00,1.089s,PASSED
closeApplication(),,,,13-02-2024 12:16:00,13-02-2024 12:16:02,1.468s,PASSED
Video,,,,13-02-2024 12:16:04,13-02-2024 12:16:04,0.000s,PASSED
